Healthcheck for ppdspg02
Generated at 2026-02-19 09:51:36
================================================================================

## Total Connections

Username | Machine Name | Application Name | Total Connections Count
--------------------------------------------------------------------
pspapp | None |  | 37
pspapp | None | psp-adapter-deployment-79cb9f4555-cdmkv | 25
pspapp | None | psp-adapter-deployment-79cb9f4555-48dn7 | 25
pspread | None |  | 22
pspbatch_rw_user | None |  | 17
pspapp | None | psp-qbdt-deployment-869d96b595-srpd2 | 15
pspapp | None | psp-qbdt-deployment-869d96b595-nzmjs | 15
pspapp | None | psp-sap-deployment-77b797dfc8-skjc8 | 10
pspapp | None | psp-sap-deployment-77b797dfc8-kmxg5 | 10
data_capture_role | None | PostgreSQL JDBC Driver | 10
None | None |  | 7
psprjf | None | report-job-svc-appd-rollout-d57db96b4-lctht | 5
psp_payroll_dm | None | payroll-dm-appd-deployment-7569fdb88d-75jlw | 5
pspbatch_rw_user | None | psp-jss-high-deployment-7d5dfd77b6-t7cb8 | 5
pspbatch_rw_user | None | psp-jss-high-deployment-7d5dfd77b6-jqd7m | 5
pspapp | None | psp-appd-deployment-7bbb455c4f-769f6 | 5
pspbatch_rw_user | None | psp-jss-monitor-deployment-74874bfb4d-76k9k | 5
psprjf | None | report-job-svc-appd-rollout-d57db96b4-b4gbb | 5
pspread | None | psp-appd-deployment-7bbb455c4f-2rg4d | 5
pspread | None | psp-appd-deployment-7bbb455c4f-769f6 | 5
pspapp | None | psp-appd-deployment-7bbb455c4f-2rg4d | 5
psp_payroll_dm | None | payroll-dm-appd-deployment-7569fdb88d-59qwr | 5
rdsadmin | None | PostgreSQL JDBC Driver | 3
pspread | None | desktop-pay-api-appd-rollout-6b5bf7bf8-zhv6w | 3
pspbatch_rw_user | None | psp-jss-normal-deployment-66765cf974-lp72d | 3
datalake | None | Debezium General | 2
pspapp | None | desktop-pay-api-appd-rollout-6b5bf7bf8-zhv6w | 2
data_capture_role | None | Debezium General | 2
pspread | None | desktop-pay-api-appd-rollout-6b5bf7bf8-fcqfv | 2
rdsadmin | None |  | 2
pspread | None | desktop-pay-api-appd-rollout-6b5bf7bf8-ckjj8 | 1
ss0022 | None | IntelliJ IDEA 2025.2.5 | 1
postgres | None |  | 1
pspapp | None | IntelliJ IDEA 2024.1.4 | 1
pspapp | None | pubsubpsp-appd-rollout-645d5797d7-dqg2v | 1
datalake | None | Debezium Streaming | 1
pspread | None | desktop-pay-api-appd-rollout-6b5bf7bf8-7prrw | 1
rdsadmin | None | pg_cron scheduler | 1
pspbatch_rw_user | None | psp-jss-normal-deployment-66765cf974-4tlw7 | 1
data_capture_role | None | Debezium Streaming | 1
pspread | None | desktop-pay-api-appd-rollout-6b5bf7bf8-7z56m | 1

## Active Sessions

Username | Machine Name | Application Name | Active Sessions Count
------------------------------------------------------------------
pspapp | None |  | 3
data_capture_role | None | Debezium Streaming | 1
datalake | None | Debezium Streaming | 1
postgres | None |  | 1
None | None |  | 1

## Long-Running Queries

PID | Duration | Query
