Healthcheck for ppdspg02
Generated at 2026-01-07 04:31:20
================================================================================

## Total Connections

Username | Machine Name | Application Name | Total Connections Count
psp_law_rate_value | psp_law_rate_value_pkey | Unused | Valid
psp_ledger_account_action | psp_ledger_account_action_fk1 | Unused | Valid
psp_ledger_account_action | psp_ledger_account_action_fk2 | Unused | Valid
psp_ledger_account_action | psp_ledger_account_action_pkey | Unused | Valid
psp_ledger_operation | idx_led_op_cr_date | Unused | Valid
psp_ledger_operation | psp_ledger_operation_fk1 | Unused | Valid
psp_ledger_operation | psp_ledger_operation_fk2 | Unused | Valid
psp_ledger_operation | psp_ledger_operation_pkey | Unused | Valid
psp_ledger_operation_job | idx_led_op_job_cr_date | Unused | Valid
psp_ledger_operation_job | psp_ledger_operation_job_pkey | Unused | Valid
psp_liab_check_billing_assoc | psp_liab_check_billing_assoc_pkey | Unused | Valid
psp_liab_check_billing_assoc | psp_liability_check_billin_fk1 | Unused | Valid
psp_liability_check_line | psp_liability_check_line_fk1 | Unused | Valid
psp_liability_check_line | psp_liability_check_line_fk4 | Unused | Valid
psp_limit_value | psp_limit_value_pkey | Unused | Valid
psp_message_log | psp_message_log_pkey | Unused | Valid
psp_offer_price | psp_offer_price_fk1 | Unused | Valid
psp_offer_price | psp_offer_price_pkey | Unused | Valid
psp_offer_svcchg_assoc | psp_offer_svcchg_assoc_pkey | Unused | Valid
psp_offering | psp_offering_fk2 | Unused | Valid
psp_offload_group | psp_offload_group_pkey | Unused | Valid
psp_ownership_type | psp_ownership_type_pkey | Unused | Valid
psp_pay_item | psp_pay_item_fk1 | Unused | Valid
psp_pay_item | psp_pay_item_fk2 | Unused | Valid
psp_pay_item | psp_pay_item_pkey | Unused | Valid
psp_paycheck_usage_hist | psp_paycheck_usage_hist_fk1 | Unused | Valid
psp_paycheck_usage_hist | psp_paycheck_usage_hist_pkey | Unused | Valid
psp_payment_batch_assoc | psp_payment_batch_assoc_pkey | Unused | Valid
psp_payment_template_agency_id | psp_payment_template_agenc_fk1 | Unused | Valid
psp_payment_template_agency_id | psp_payment_template_agency_id_pkey | Unused | Valid
psp_payroll_fraud_batch | psp_payroll_fraud_batch_pkey | Unused | Valid
psp_payroll_frequency | psp_payroll_frequency_pkey | Unused | Valid
psp_payroll_run | idx_prl_run_mod_date | Unused | Valid
psp_payroll_run | psp_payroll_run_eecalctoken | Unused | Valid
psp_payroll_run | psp_pr_procesed_by_frd_btchjob | Unused | Valid
psp_payroll_run_action | psp_payroll_run_action_fk1 | Unused | Valid
psp_payroll_run_action | psp_payroll_run_action_pkey | Unused | Valid
psp_payroll_subtype | psp_payroll_subtype_fk1 | Unused | Valid
psp_payroll_subtype | psp_payroll_subtype_pkey | Unused | Valid
psp_pmt_template_bankaccount | psp_payment_template_bank_fk2 | Unused | Valid
psp_pmt_template_bankaccount | psp_pmt_template_bankaccount_pkey | Unused | Valid
psp_pmt_template_paymentmethod | psp_pmt_template_paymentmethod_pkey | Unused | Valid
psp_pmttemplate_chkinfo_assoc | psp_pmttemplate_chkinfo_assoc_pkey | Unused | Valid
psp_posting_rule | psp_posting_rule_fk2 | Unused | Valid
psp_posting_rule | psp_posting_rule_pkey | Unused | Valid
psp_prior_payment_submission | psp_prior_payment_submissi_fk1 | Unused | Valid
psp_prior_payment_submission | psp_prior_payment_submission_pkey | Unused | Valid
psp_pstub_dditem | idx_pdditem_mod_date | Unused | Valid
psp_pstub_employee_preference | emp_pref_unq_indx | Unused | Valid
psp_pstub_employee_preference | emp_pref_unq_indx1 | Unused | Valid
psp_pstub_employee_preference | psp_pstub_employee_preference_pkey | Unused | Valid
psp_qbdt_employee_info | psp_qbdt_employee_info_com_lst | Unused | Valid
psp_qbdt_payroll_trans_line | psp_qbdt_payroll_trans_line_pkey | Unused | Valid
psp_qbdt_unprocessed_request | psp_qbdt_unprocessed_reque_fk1 | Unused | Valid
psp_quickbooks_info | psp_quickbooks_i2 | Unused | Valid
psp_racompany_service_info | psp_racompany_service_info_pkey | Unused | Valid
psp_rafenrollment | psp_rafenrollment_i1 | Unused | Valid
psp_rafenrollment_detail | psp_rafenrollment_detail_fk1 | Unused | Valid
psp_rafenrollment_detail | psp_rafenrollment_detail_fk2 | Unused | Valid
psp_rafenrollment_detail | psp_rafenrollment_detail_fk3 | Unused | Valid
