950,2013-08
8511,2013-09
138025,2013-10
402323,2013-11
746641,2013-12
799396,2014-01
667310,2014-02
1573181,2014-03
1828194,2014-04
1546761,2014-05
1644438,2014-06
1610032,2014-07
1463377,2014-08
1551905,2014-09
1602397,2014-10
1454243,2014-11
1768298,2014-12
1441631,2015-01
1482750,2015-02
1638463,2015-03
1690076,2015-04
1599310,2015-05
1773775,2015-06
1742424,2015-07
1677276,2015-08
1855028,2015-09
1660344,2015-10
1648954,2015-11
1908491,2015-12
1599413,2016-01
1717241,2016-02
1954834,2016-03
1780859,2016-04
1915053,2016-05
1983040,2016-06
1773258,2016-07
2111296,2016-08
1787467,2016-09
1853038,2016-10
2015566,2016-11
1900020,2016-12
1920201,2017-01
1850827,2017-02
2041086,2017-03
1889574,2017-04
2243902,2017-05
1999118,2017-06
1988536,2017-07
2285149,2017-08
1949457,2017-09
2171682,2017-10
2191047,2017-11
2083804,2017-12
2310782,2018-01
2070897,2018-02
2133309,2018-03
2216593,2018-04
2508943,2018-05
2249662,2018-06
2403501,2018-07
2490381,2018-08
2188739,2018-09
2644176,2018-10
2270972,2018-11
2424340,2018-12
2488885,2019-01
2267361,2019-02
2321297,2019-03
2561981,2019-04
2634375,2019-05
2419671,2019-06
2830271,2019-07
2512811,2019-08
2504478,2019-09
2809263,2019-10
2450965,2019-11
2899321,2019-12
2502416,2020-01
2513938,2020-02
2730051,2020-03
2372147,2020-04
2324085,2020-05
2805713,2020-06
2615229,2020-07
2598609,2020-08
2891319,2020-09
2617085,2020-10
2611846,2020-11
3081377,2020-12
2520759,2021-01
2573306,2021-02
3079371,2021-03
2713481,2021-04
2741714,2021-05
3225947,2021-06
2834487,2021-07
4056109,2021-08
5915338,2021-09
5717983,2021-10
13115252,2021-11
11938434,2021-12
6614625,2022-01
7980295,2022-02
8798583,2022-03
7310755,2022-04
7900662,2022-05
7926778,2022-06
7076783,2022-07
8408626,2022-08
7030136,2022-09
7254460,2022-10
7819720,2022-11
7386387,2022-12
7258205,2023-01
7145627,2023-02
1082926,2023-03
