1148,3
2148,5
3148,5
4148,5
5148,5
102148,5
105148,5
136148,4
51466748,2
52662876,2
53765600,2
54329552,2
54475552,2
57920320,2
61645328,2
62725200,2
63030420,2
64217788,2
65097676,2
65140836,2
65225520,2
65884844,2
71179976,2
71243104,2
71243152,2
71243156,2
71336280,2
71336404,2
71336456,2
71336484,2
71336528,2
72493596,2
72644316,2
72760132,2
72921768,2
73037760,2
73053236,2
73108092,2
73108124,2
73108188,2
73108192,2
73108200,2
73108244,2
73108340,2
73108348,2
73108356,2
73108360,2
73332264,2
73500824,2
73629304,2
73686752,2
73697400,2
73787320,2
74163016,2
74206472,2
74771216,2
76536300,2
77649732,2
78233756,2
79451476,2
80083100,2
80310796,2
81476272,2
81538716,2
81823104,2
81942796,2
82704828,2
82850512,2
82850708,2
82865380,2
82941800,2
83016448,2
83045828,2
83131276,2
83229516,2
83258628,2
83343492,2
83395936,2
83453708,2
83545404,2
83545892,2
83589160,2
83642080,2
83695080,2
83714920,2
83752504,2
83823628,2
83838924,2
83839032,2
83965304,2
84014256,2
84065388,2
84139576,2
84201172,2
84250164,2
84329492,2
84329508,2
84329552,2
84329648,2
84365528,2
84374696,2
84421748,2
84422148,2
84436952,2
84474944,2
84504740,2
84520816,2
84520852,2
84534268,2
84583380,2
84600172,2
84627532,2
84682452,2
84738780,2
84784676,2
84813604,2
84943448,2
85204448,2
85243952,2
85244016,2
85304448,2
85304540,2
85304720,2
85304816,2
85304868,2
85304904,2
85304908,2
85305016,2
85305080,2
85305152,2
85305172,2
85305224,2
85305332,2
85305428,2
85305492,2
85384120,2
85497500,2
85661316,2
85782988,2
85912104,2
86001520,2
86277092,2
87375448,2
87760864,2
89980928,2
91691084,2
92270564,2
92424964,2
93135196,2
95174684,2
95621644,2
95656656,2
95854868,2
95957416,2
96004900,2
96005656,2
96293056,2
96328628,2
96376056,2
96652988,2
96812196,2
97023828,2
97054552,2
97245004,2
97502576,2
97554296,2
97629560,2
97629724,2
97992276,2
98009660,2
98224628,2
98337168,2
98402992,2
98445472,2
