pspapg02=> \i pg_size_cat.sql
      nspname       |  size  
--------------------+--------
 pg_catalog         | 233 MB
 information_schema | 88 kB
(2 rows)

                    relname                     |      nspname       |            size            
 pg_namespace_nspname_index                     | pg_catalog         | 0.000015258789062500000000
 pg_am_oid_index                                | pg_catalog         | 0.000015258789062500000000
 pg_default_acl_role_nsp_obj_index              | pg_catalog         | 0.000015258789062500000000
 pg_opclass_oid_index                           | pg_catalog         | 0.000015258789062500000000
 pg_ts_parser_oid_index                         | pg_catalog         | 0.000015258789062500000000
 pg_ts_dict_dictname_index                      | pg_catalog         | 0.000015258789062500000000
 pg_tablespace_spcname_index                    | pg_catalog         | 0.000015258789062500000000
 pg_database_oid_index                          | pg_catalog         | 0.000015258789062500000000
 pg_event_trigger_evtname_index                 | pg_catalog         | 0.000015258789062500000000
 pg_language_name_index                         | pg_catalog         | 0.000015258789062500000000
 pg_event_trigger_oid_index                     | pg_catalog         | 0.000015258789062500000000
 pg_foreign_data_wrapper_name_index             | pg_catalog         | 0.000015258789062500000000
 pg_parameter_acl_parname_index                 | pg_catalog         | 0.000015258789062500000000
 pg_sequence                                    | pg_catalog         | 0.000015258789062500000000
 pg_shdescription_o_c_index                     | pg_catalog         | 0.000015258789062500000000
 pg_foreign_table_relid_index                   | pg_catalog         | 0.000015258789062500000000
 pg_parameter_acl_oid_index                     | pg_catalog         | 0.000015258789062500000000
 pg_language_oid_index                          | pg_catalog         | 0.000015258789062500000000
 pg_conversion                                  | pg_catalog         | 0.000015258789062500000000
 pg_user_mapping_user_server_index              | pg_catalog         | 0.000015258789062500000000
 pg_conversion_oid_index                        | pg_catalog         | 0.000015258789062500000000
 pg_foreign_server_name_index                   | pg_catalog         | 0.000015258789062500000000
 pg_authid_rolname_index                        | pg_catalog         | 0.000015258789062500000000
 pg_foreign_server_oid_index                    | pg_catalog         | 0.000015258789062500000000
 pg_ts_config_oid_index                         | pg_catalog         | 0.000015258789062500000000
 pg_partitioned_table_partrelid_index           | pg_catalog         | 0.000015258789062500000000
 pg_init_privs_o_c_o_index                      | pg_catalog         | 0.000015258789062500000000
 pg_cast_oid_index                              | pg_catalog         | 0.000015258789062500000000
 pg_db_role_setting_databaseid_rol_index        | pg_catalog         | 0.000015258789062500000000
 pg_aggregate_fnoid_index                       | pg_catalog         | 0.000015258789062500000000
 pg_rewrite_oid_index                           | pg_catalog         | 0.000015258789062500000000
 pg_ts_template_oid_index                       | pg_catalog         | 0.000015258789062500000000
 pg_opfamily_am_name_nsp_index                  | pg_catalog         | 0.000015258789062500000000
 pg_extension_name_index                        | pg_catalog         | 0.000015258789062500000000
 pg_rewrite_rel_rulename_index                  | pg_catalog         | 0.000015258789062500000000
 pg_publication_rel_prrelid_prpubid_index       | pg_catalog         | 0.000007629394531250000000
 pg_transform_oid_index                         | pg_catalog         | 0.000007629394531250000000
 pg_ts_template                                 | pg_catalog         | 0.000007629394531250000000
 pg_statistic_ext_name_index                    | pg_catalog         | 0.000007629394531250000000
 pg_event_trigger                               | pg_catalog         | 0.000007629394531250000000
 pg_ts_config                                   | pg_catalog         | 0.000007629394531250000000
 pg_policy_polrelid_polname_index               | pg_catalog         | 0.000007629394531250000000
 pg_ts_dict                                     | pg_catalog         | 0.000007629394531250000000
 pg_enum_typid_sortorder_index                  | pg_catalog         | 0.000007629394531250000000
 pg_publication_oid_index                       | pg_catalog         | 0.000007629394531250000000
 sql_sizing                                     | information_schema | 0.000007629394531250000000
 pg_shdescription                               | pg_catalog         | 0.000007629394531250000000
 pg_policy_oid_index                            | pg_catalog         | 0.000007629394531250000000
 pg_shseclabel_object_index                     | pg_catalog         | 0.000007629394531250000000
 pg_transform_type_lang_index                   | pg_catalog         | 0.000007629394531250000000
 pg_publication_namespace_oid_index             | pg_catalog         | 0.000007629394531250000000
 pg_publication_pubname_index                   | pg_catalog         | 0.000007629394531250000000
 pg_ts_parser                                   | pg_catalog         | 0.000007629394531250000000
 pg_am                                          | pg_catalog         | 0.000007629394531250000000
 sql_parts                                      | information_schema | 0.000007629394531250000000
 pg_user_mapping                                | pg_catalog         | 0.000007629394531250000000
 pg_tablespace                                  | pg_catalog         | 0.000007629394531250000000
 pg_auth_members                                | pg_catalog         | 0.000007629394531250000000
 pg_partitioned_table                           | pg_catalog         | 0.000007629394531250000000
 pg_default_acl                                 | pg_catalog         | 0.000007629394531250000000
 pg_publication_rel_prpubid_index               | pg_catalog         | 0.000007629394531250000000
 pg_db_role_setting                             | pg_catalog         | 0.000007629394531250000000
 pg_namespace                                   | pg_catalog         | 0.000007629394531250000000
