Healthcheck for psyspg01
Generated at 2025-07-04 07:20:19
================================================================================

## Total Connections

pg_subscription | pg_subscription_oid_index | Unused | Valid
pg_subscription | pg_subscription_subname_index | Unused | Valid
pg_subscription_rel | pg_subscription_rel_srrelid_srsubid_index | Unused | Valid
pg_tablespace | pg_tablespace_oid_index | Unused | Valid
pg_tablespace | pg_tablespace_spcname_index | Unused | Valid
pg_transform | pg_transform_oid_index | Unused | Valid
pg_transform | pg_transform_type_lang_index | Unused | Valid
pg_trigger | pg_trigger_oid_index | Unused | Valid
pg_trigger | pg_trigger_tgconstraint_index | Unused | Valid
pg_trigger | pg_trigger_tgrelid_tgname_index | Unused | Valid
pg_ts_config | pg_ts_config_cfgname_index | Unused | Valid
pg_ts_config | pg_ts_config_oid_index | Unused | Valid
pg_ts_config_map | pg_ts_config_map_index | Unused | Valid
pg_ts_dict | pg_ts_dict_dictname_index | Unused | Valid
pg_ts_dict | pg_ts_dict_oid_index | Unused | Valid
pg_ts_parser | pg_ts_parser_oid_index | Unused | Valid
pg_ts_parser | pg_ts_parser_prsname_index | Unused | Valid
pg_ts_template | pg_ts_template_oid_index | Unused | Valid
pg_ts_template | pg_ts_template_tmplname_index | Unused | Valid
pg_type | pg_type_oid_index | Unused | Valid
pg_type | pg_type_typname_nsp_index | Unused | Valid
pg_user_mapping | pg_user_mapping_oid_index | Unused | Valid
pg_user_mapping | pg_user_mapping_user_server_index | Unused | Valid
psp_ach_transaction_code | psp_ach_transaction_code_pkey | Unused | Valid
psp_achenrollment | psp_achenrollment_pkey | Unused | Valid
psp_achenrollment_detail | psp_achenrollment_detail_pkey | Unused | Valid
psp_achenrollment_file | psp_achenrollment_file_pkey | Unused | Valid
psp_additional_filing_amount | psp_additional_filing_amount_pkey | Unused | Valid
psp_ade_law_map | psp_ade_law_map_fk1 | Unused | Valid
psp_ade_law_map | psp_ade_law_map_fk2 | Unused | Valid
psp_ade_law_map | psp_ade_law_map_pkey | Unused | Valid
psp_agency | psp_agency_agencyidenc_i1 | Unused | Valid
psp_agency_check_batch | psp_agency_check_batch_fk2 | Unused | Valid
psp_agency_id_requirement | psp_agency_id_requirement_fk2 | Unused | Valid
psp_agency_rate_request | psp_agency_rate_request_pkey | Unused | Valid
psp_annual_billing_batch | psp_annual_billing_batch_pkey | Unused | Valid
psp_annual_billing_item | psp_annual_billing_item_pkey | Unused | Valid
psp_annual_billing_item | psp_annualbillingitem_fk1 | Unused | Valid
psp_applied_database_patch | psp_applied_database_patch_pkey | Unused | Valid
psp_archive_record | psp_archive_record_pkey | Unused | Valid
psp_assisted_bundle_bill | psp_assisted_bundle_bill_pkey | Unused | Valid
psp_assisted_bundle_bill | psp_assistedbundlebill_fk1 | Unused | Valid
psp_asst_bundle_bill_detail | psp_asst_bundle_bill_detail_pkey | Unused | Valid
psp_asst_bundle_bill_detail | psp_asstbundlebilldetail_fk1 | Unused | Valid
psp_asst_bundle_comp_usage | psp_asst_bundle_comp_usage_pkey | Unused | Valid
psp_atfpayments_to_process | psp_atfpayments_to_process_fk2 | Unused | Valid
psp_atfpayments_to_process | psp_atfpayments_to_process_pkey | Unused | Valid
psp_atfpayrolls_to_process | psp_atfpayrolls_to_process_i1 | Unused | Valid
psp_atfpayrolls_to_process | psp_atfpayrolls_to_process_pkey | Unused | Valid
psp_authrole_operation_assoc | psp_role_operation_fk_role | Unused | Valid
psp_bank_account | psp_bank_account_mooddate | Unused | Valid
psp_batch_job_parameter | psp_batch_job_parameter_pkey | Unused | Valid
psp_batch_job_status | c_psp_batch_job_status1 | Unused | Valid
psp_bill | psp_bill_fk1 | Unused | Valid
psp_bill_payment | psp_bill_payment_fk1 | Unused | Valid
psp_bill_payment_split | psp_bill_payment_split_fk2 | Unused | Valid
psp_billing_detail | idx_bill_det_mod_date | Unused | Valid
psp_billing_detail | psp_billing_detail_fk2 | Unused | Valid
psp_check_print_paycheck | psp_check_print_paycheck_fk1 | Unused | Valid
psp_check_print_paycheck | psp_check_print_paycheck_pkey | Unused | Valid
psp_collection_stage | psp_collection_stage_pkey | Unused | Valid
psp_comp_adjust_submission | psp_company_adjustment_sub_fk3 | Unused | Valid
psp_comp_adjust_submission | psp_company_adjustment_sub_fk4 | Unused | Valid
psp_comp_pmt_template_agencyid | psp_comp_pmt_template_agencyid_pkey | Unused | Valid
psp_comp_pmttemplate_pmtmethod | psp_comp_pmttemplate_pmtmethod_pkey | Unused | Valid
psp_company | psp_company_i1 | Unused | Valid
psp_company | psp_company_i5 | Unused | Valid
psp_company_additional_info | psp_company_additional_inf_fk2 | Unused | Valid
psp_company_additional_info | psp_company_additional_inf_fk3 | Unused | Valid
psp_company_consent | psp_company_consent_pkey | Unused | Valid
psp_company_daily_liability | idx_cdl_mod_date | Unused | Valid
psp_company_daily_liability | psp_company_daily_liabilit_fk1 | Unused | Valid
psp_company_filing_amount | psp_company_filing_amount_pkey | Unused | Valid
psp_company_note | psp_company_note_pkey | Unused | Valid
psp_company_note | psp_companynote_fk1 | Unused | Valid
psp_company_offer | psp_company_offer_fk1 | Unused | Valid
psp_company_offer | psp_company_offer_pkey | Unused | Valid
psp_company_rate_request | psp_company_rate_request_fk1 | Unused | Valid
psp_company_rate_request | psp_company_rate_request_fk2 | Unused | Valid
psp_company_rate_request | psp_company_rate_request_pkey | Unused | Valid
psp_company_service | psp_company_service_fk3 | Unused | Valid
psp_company_service_bank_acct | idx_csba_mod_date | Unused | Valid
