
Import: Release 12.1.0.2.0 - Production on Sun Mar 26 01:05:29 2023

Copyright (c) 1982, 2014, Oracle and/or its affiliates.  All rights reserved.

Connected to: Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production
Master table "INTUADMIN"."SYS_IMPORT_TABLE_01" successfully loaded/unloaded
Starting "INTUADMIN"."SYS_IMPORT_TABLE_01":  userid=intuadmin/********@psphpp01 dumpfile=DATA_PUMP_DIR:exp_data_%U.dmp,DATA_PUMP_DIR1:exp_data1_%U.dmp,DATA_PUMP_DIR2:exp_data2_%U.dmp,DATA_PUMP_DIR3:exp_data3_%U.dmp parallel=16 TABLES=PSPADM.PSP_FINANCIAL_TRANS_STATE,PSPADM.PSP_PSTUB_PAY_ITEM content=data_only logfile=DATA_PUMP_DIR:imp_psp_tables1.log 
Processing object type SCHEMA_EXPORT/TABLE/TABLE_DATA
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102018"  8.206 GB 40024635 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012023"  8.177 GB 39888876 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072022"  8.177 GB 39866512 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042021"  8.169 GB 39771801 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112021"  8.137 GB 39730634 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042022"  8.135 GB 39671133 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052019"  8.126 GB 39564536 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072020"  8.105 GB 39441872 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092020"  8.105 GB 39562535 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012019"  8.035 GB 39074388 rows
