sql_id|sql_text|parsing_schema_name|MODULE|ACTION|MACHINE|SAMPLE_TIME
66uq18xsubhzb | /* update com.intuit.sbd.payroll.psp.domain.EntitlementMessage */ update PSP_ENTITLEMENT_MESSAGE set VERSION=:1 , MESSAGE=:2  where ENTITLEMENT_MESSAGE_SEQ=:3  and VERSION=:4  | PSPAPP | ProcessNewAMOMessages:225 | saveEntitlementMessage | psp-jss-monitor-deployment-86c45bc57-nm8rk | 23-SEP-21 01.38.10.322 AM
66uq18xsubhzb | /* update com.intuit.sbd.payroll.psp.domain.EntitlementMessage */ update PSP_ENTITLEMENT_MESSAGE set VERSION=:1 , MESSAGE=:2  where ENTITLEMENT_MESSAGE_SEQ=:3  and VERSION=:4  | PSPAPP | ProcessNewAMOMessages:225 | saveEntitlementMessage | psp-jss-monitor-deployment-86c45bc57-nm8rk | 23-SEP-21 01.38.10.322 AM
66uq18xsubhzb | /* update com.intuit.sbd.payroll.psp.domain.EntitlementMessage */ update PSP_ENTITLEMENT_MESSAGE set VERSION=:1 , MESSAGE=:2  where ENTITLEMENT_MESSAGE_SEQ=:3  and VERSION=:4  | PSPAPP | ProcessNewAMOMessages:225 | saveEntitlementMessage | psp-jss-monitor-deployment-86c45bc57-nm8rk | 23-SEP-21 01.38.10.322 AM
66uq18xsubhzb | /* update com.intuit.sbd.payroll.psp.domain.EntitlementMessage */ update PSP_ENTITLEMENT_MESSAGE set VERSION=:1 , MESSAGE=:2  where ENTITLEMENT_MESSAGE_SEQ=:3  and VERSION=:4  | PSPAPP | ProcessNewAMOMessages:225 | saveEntitlementMessage | psp-jss-monitor-deployment-86c45bc57-nm8rk | 23-SEP-21 01.38.10.322 AM
66uq18xsubhzb | /* update com.intuit.sbd.payroll.psp.domain.EntitlementMessage */ update PSP_ENTITLEMENT_MESSAGE set VERSION=:1 , MESSAGE=:2  where ENTITLEMENT_MESSAGE_SEQ=:3  and VERSION=:4  | PSPAPP | ProcessNewAMOMessages:225 | saveEntitlementMessage | psp-jss-monitor-deployment-86c45bc57-nm8rk | 23-SEP-21 01.38.10.322 AM
bgrmn0t0yndzb | /* criteria query */ select this_.COMPANY_SEQ as COMPANY1_194_0_, this_.VERSION as VERSION194_0_, this_.CREATOR_ID as CREATOR3_194_0_, this_.CREATED_DATE as CREATED4_194_0_, this_.MODIFIER_ID as MODIFIER5_194_0_, this_.MODIFIED_DATE as MODIFIED6_194_0_, this_.REALM_ID as REALM7_194_0_, this_.PRIVATE_KEY_ENC as PRIVATE8_194_0_, this_.PHONE as PHONE194_0_, this_.DBA_NAME as DBA10_194_0_, this_.LEGAL_NAME as LEGAL11_194_0_, this_.SOURCE_COMPANY_ID as SOURCE12_194_0_, this_.DEBUG_LOGGING as DEBUG13_194_0_, this_.NOTIFICATION_EMAIL as NOTIFIC14_194_0_, this_.NEXT_PAYROLL_TRANSACTION_ID as NEXT15_194_0_, this_.NEXT_PAYCHECK_ID as NEXT16_194_0_, this_.NEXT_EMPLOYEE_ID as NEXT17_194_0_, this_.NEXT_PAYROLL_ITEM_ID as NEXT18_194_0_, this_.ACCOUNT_LOCKED_UNTIL as ACCOUNT19_194_0_, this_.NBR_OF_FAILED_LOGIN_ATTEMPTS as NBR20_194_0_, this_.CURRENT_TOKEN as CURRENT21_194_0_, this_.SOURCE_SYSTEM_CD as SOURCE22_194_0_, this_.TAX_EXEMPT_EXPIRATION_DATE as TAX23_194_0_, this_.NAME_CONTRO
L as NAME24_194_0_, this_.IS_FLAGGED_FOR_FRAUD as IS25_194_0_, this_.SIGN_UP_DATE as SIGN26_194_0_, this_.PUBLIC_KEY as PUBLIC27_194_0_, this_.NBR_FAILED_AUTHENTICATIONS as NBR28_194_0_, this_.CLOUD_CURRENT_TOKEN as CLOUD29_194_0_, this_.I_A_M_REALM_ID as I30_194_0_, this_.TAX_EXEMPT_STATUS as TAX31_194_0_, this_.PRICE_TYPE as PRICE32_194_0_, this_.FED_TAX_ID_ENC as FED33_194_0_, this_.D_D_PUBLISH_FLAG as D34_194_0_, this_.O_I_I_FLAG as O35_194_0_, this_.IS_DG_DISASSOCIATED as IS36_194_0_, this_.PUBLISH_STATUS as PUBLISH37_194_0_, this_.COMPLIANCE_ADDRESS_FK as COMPLIANCE38_194_0_, this_.MAILING_ADDRESS_FK as MAILING39_194_0_, this_.LEGAL_ADDRESS_FK as LEGAL40_194_0_, this_.PAYROLL_FREQUENCY_FK as PAYROLL41_194_0_, this_.OFFLOAD_GROUP_FK as OFFLOAD42_194_0_, this_.FUNDING_MODEL_FK as FUNDING43_194_0_ from PSP_COMPANY this_ where  this_.IS_DG_DISASSOCIATED=:1  and (this_.I_A_M_REALM_ID=:2  and this_.SOURCE_SYSTEM_CD=:3 ) | PSPAPP | Employer:590 | getEmployersByRealm | desktop-pay-api-ap
pd-deployment-599cf4d998-s5sls | 16-SEP-21 11.37.38.971 PM

9j9fcywgr4c48 | /* named native SQL query findCurrentProcessCacheId */ select SYSTEM_PARAMETER_VALUE as processCacheToken
