950,2013-08
8257,2013-09
133224,2013-10
389863,2013-11
724571,2013-12
792849,2014-01
650490,2014-02
1512808,2014-03
1765081,2014-04
1486541,2014-05
1587976,2014-06
1558916,2014-07
1413246,2014-08
1496525,2014-09
1546997,2014-10
1412786,2014-11
1726057,2014-12
1412703,2015-01
1434430,2015-02
1582386,2015-03
1634361,2015-04
1547527,2015-05
1717606,2015-06
1689859,2015-07
1618225,2015-08
1798437,2015-09
1612711,2015-10
1602151,2015-11
1865672,2015-12
1557056,2016-01
1659647,2016-02
1882286,2016-03
1720306,2016-04
1845439,2016-05
1915358,2016-06
1711568,2016-07
2035018,2016-08
1728169,2016-09
1785975,2016-10
1945339,2016-11
1854395,2016-12
1870251,2017-01
1787057,2017-02
1970182,2017-03
1823796,2017-04
2165058,2017-05
1934993,2017-06
1922619,2017-07
2202543,2017-08
1880796,2017-09
2095442,2017-10
2115036,2017-11
2035132,2017-12
2241613,2018-01
1996375,2018-02
2060961,2018-03
2137655,2018-04
2427213,2018-05
2174864,2018-06
2328163,2018-07
2433712,2018-08
2125526,2018-09
2579009,2018-10
2217092,2018-11
2372254,2018-12
2428577,2019-01
2195730,2019-02
2245208,2019-03
2472821,2019-04
2549822,2019-05
2337332,2019-06
2735649,2019-07
2431087,2019-08
2423452,2019-09
2714376,2019-10
2369790,2019-11
2814946,2019-12
2440129,2020-01
2435094,2020-02
2635651,2020-03
2285000,2020-04
2239108,2020-05
2703665,2020-06
2518057,2020-07
2498876,2020-08
2785479,2020-09
2530664,2020-10
2529815,2020-11
2994527,2020-12
2446770,2021-01
2499018,2021-02
2972689,2021-03
2619898,2021-04
2639995,2021-05
3110776,2021-06
2744093,2021-07
3932501,2021-08
5753897,2021-09
5567123,2021-10
12769717,2021-11
11739638,2021-12
6484399,2022-01
7784878,2022-02
8576069,2022-03
7130538,2022-04
7689360,2022-05
7730107,2022-06
6898763,2022-07
8192072,2022-08
6855470,2022-09
7065443,2022-10
7634161,2022-11
7252302,2022-12
7094979,2023-01
6940090,2023-02
1055567,2023-03
