SQL> set lines 500 pages 500
col constraint_name for a50
col table_name for a50
select constraint_name, table_name,status  from dba_constraints where owner='PSPADM' and constraint_type='R' SQL> SQL> SQL> ;

CONSTRAINT_NAME 				   TABLE_NAME					      STATUS
PSP_ENTRY_DETAIL_RECORD_FK4			   PSP_ENTRY_DETAIL_RECORD			      ENABLED
PSP_FINANCIALTRANSACTIONST_FK1			   PSP_FINANCIAL_TRANS_STATE			      ENABLED
PSP_LEDGERBALANCE_FK2				   PSP_LEDGER_BALANCE				      ENABLED
PSP_MONEY_MOVEMENT_TRANSAC_FK2			   PSP_MONEY_MOVEMENT_TRANSACTION		      ENABLED
PSP_PAYCHECK_FK5				   PSP_PAYCHECK 				      ENABLED
PSP_PAYCHECK_SPLIT_FK3				   PSP_PAYCHECK_SPLIT				      ENABLED
PSP_PROPERTYAUDIT_FK1				   PSP_PROPERTY_AUDIT				      ENABLED
PSP_PSTUB_PAY_ITEM_FK2				   PSP_PSTUB_PAY_ITEM				      ENABLED
PSP_QBDT_PAYCHECK_INFO_FK2			   PSP_QBDT_PAYCHECK_INFO			      ENABLED
PSP_QBDT_PAYLINE_INFO_FK4			   PSP_QBDT_PAYLINE_INFO			      ENABLED
PSP_TAX_FK5					   PSP_TAX					      ENABLED
PSP_DISBURSE_ADVICE_TAX_LI_FK3			   PSP_DISBURSE_ADVICE_TAX_LIAB 		      ENABLED
PSP_QBDT_TRANSACTION_INFO_FK7			   PSP_QBDT_TRANSACTION_INFO			      ENABLED
PSP_DEDUCTION_FK4				   PSP_DEDUCTION				      ENABLED
PSP_CHECKPRINTPAYCHECK_FK2			   PSP_CHECK_PRINT_PAYCHECK			      ENABLED
PSP_COMPANY_ADDITIONAL_INF_FK1			   PSP_COMPANY_ADDITIONAL_INFO			      ENABLED
PSP_COMPANY_AGENCY_FK2				   PSP_COMPANY_AGENCY				      ENABLED
PSP_COMPANY_BANK_ACCOUNT_FK2			   PSP_COMPANY_BANK_ACCOUNT			      ENABLED
PSP_COMPANY_DAILY_LIABILIT_FK2			   PSP_COMPANY_DAILY_LIABILITY			      ENABLED
PSP_COMPANY_NOTE_FK1				   PSP_COMPANY_NOTE				      ENABLED
PSP_COMPANY_OFFER_FK2				   PSP_COMPANY_OFFER				      ENABLED
